# T_K Q_known Q_missing Q_estimated missing_fraction
1.33275330e+03 5.22340986e+05 4.55523251e+04 5.67893311e+05 8.02128220e-02
1.36112286e+03 5.36709584e+05 5.11697652e+04 5.87879349e+05 8.70412701e-02
1.39009631e+03 5.51270883e+05 5.73742265e+04 6.08645109e+05 9.42654852e-02
1.41968650e+03 5.66019705e+05 6.42152869e+04 6.30234992e+05 1.01891021e-01
1.44990656e+03 5.80950665e+05 7.17456271e+04 6.52696292e+05 1.09921916e-01
1.48076990e+03 5.96058179e+05 8.00211486e+04 6.76079328e+05 1.18360591e-01
1.51229021e+03 6.11336480e+05 8.91010921e+04 7.00437572e+05 1.27207757e-01
1.54448147e+03 6.26779622e+05 9.90481581e+04 7.25827780e+05 1.36462341e-01
1.57735797e+03 6.42381498e+05 1.09928628e+05 7.52310126e+05 1.46121426e-01
1.61093429e+03 6.58135848e+05 1.21812489e+05 7.79948338e+05 1.56180202e-01
1.64522533e+03 6.74036273e+05 1.34773557e+05 8.08809829e+05 1.66631947e-01
1.68024631e+03 6.90076243e+05 1.48889602e+05 8.38965845e+05 1.77468014e-01
1.71601276e+03 7.06249116e+05 1.64242483e+05 8.70491599e+05 1.88677850e-01
