# ['MStar', 'MRate', 'Rdisc', 'cavity_ang', 'incl']
23.40205421 0.00073178 489.52773506 62.44815856 26.66106906
23.40205421 0.00073178 489.52773506 62.44815856 26.66106906
23.40205421 0.00073178 489.52773506 62.44815856 26.66106906
23.40205421 0.00073178 489.52773506 62.44815856 26.66106906
23.40205421 0.00073178 489.52773506 62.44815856 26.66106906
23.40205421 0.00073178 489.52773506 62.44815856 26.66106906
23.40877523 0.00073135 489.53188262 62.45269082 26.65774898
23.40877523 0.00073135 489.53188262 62.45269082 26.65774898
23.40877523 0.00073135 489.53188262 62.45269082 26.65774898
23.40877523 0.00073135 489.53188262 62.45269082 26.65774898
23.44722812 0.00072885 489.55561198 62.47862120 26.63875388
23.44722812 0.00072885 489.55561198 62.47862120 26.63875388
23.44722812 0.00072885 489.55561198 62.47862120 26.63875388
23.44722812 0.00072885 489.55561198 62.47862120 26.63875388
23.44722812 0.00072885 489.55561198 62.47862120 26.63875388
23.44722812 0.00072885 489.55561198 62.47862120 26.63875388
23.44722812 0.00072885 489.55561198 62.47862120 26.63875388
23.44722812 0.00072885 489.55561198 62.47862120 26.63875388
23.44722812 0.00072885 489.55561198 62.47862120 26.63875388
23.44722812 0.00072885 489.55561198 62.47862120 26.63875388
23.44722812 0.00072885 489.55561198 62.47862120 26.63875388
23.44722812 0.00072885 489.55561198 62.47862120 26.63875388
23.44722812 0.00072885 489.55561198 62.47862120 26.63875388
23.44722812 0.00072885 489.55561198 62.47862120 26.63875388
23.44722812 0.00072885 489.55561198 62.47862120 26.63875388
23.44722812 0.00072885 489.55561198 62.47862120 26.63875388
23.44722812 0.00072885 489.55561198 62.47862120 26.63875388
23.44722812 0.00072885 489.55561198 62.47862120 26.63875388
23.44722812 0.00072885 489.55561198 62.47862120 26.63875388
23.44731824 0.00072907 489.57826042 62.47135110 26.64290011
23.44731824 0.00072907 489.57826042 62.47135110 26.64290011
23.44731824 0.00072907 489.57826042 62.47135110 26.64290011
23.44762075 0.00072905 489.57787318 62.47186664 26.64234107
23.44762075 0.00072905 489.57787318 62.47186664 26.64234107
23.44762075 0.00072905 489.57787318 62.47186664 26.64234107
23.44762075 0.00072905 489.57787318 62.47186664 26.64234107
23.44762075 0.00072905 489.57787318 62.47186664 26.64234107
23.44762075 0.00072905 489.57787318 62.47186664 26.64234107
23.44762075 0.00072905 489.57787318 62.47186664 26.64234107
23.43568040 0.00072870 489.57796441 62.47693921 26.64793746
23.43568040 0.00072870 489.57796441 62.47693921 26.64793746
23.43568040 0.00072870 489.57796441 62.47693921 26.64793746
23.43568040 0.00072870 489.57796441 62.47693921 26.64793746
23.43568040 0.00072870 489.57796441 62.47693921 26.64793746
23.43568040 0.00072870 489.57796441 62.47693921 26.64793746
23.43568040 0.00072870 489.57796441 62.47693921 26.64793746
23.43568040 0.00072870 489.57796441 62.47693921 26.64793746
23.43568040 0.00072870 489.57796441 62.47693921 26.64793746
23.43568040 0.00072870 489.57796441 62.47693921 26.64793746
23.43568040 0.00072870 489.57796441 62.47693921 26.64793746
23.43568040 0.00072870 489.57796441 62.47693921 26.64793746
23.43568040 0.00072870 489.57796441 62.47693921 26.64793746
23.43568040 0.00072870 489.57796441 62.47693921 26.64793746
23.43568040 0.00072870 489.57796441 62.47693921 26.64793746
23.43568040 0.00072870 489.57796441 62.47693921 26.64793746
23.43568040 0.00072870 489.57796441 62.47693921 26.64793746
23.42421064 0.00072707 489.58870521 62.53591570 26.63294143
23.42421064 0.00072707 489.58870521 62.53591570 26.63294143
23.42421064 0.00072707 489.58870521 62.53591570 26.63294143
23.42421064 0.00072707 489.58870521 62.53591570 26.63294143
23.36402010 0.00071856 489.64507039 62.84541023 26.55424584
23.36402010 0.00071856 489.64507039 62.84541023 26.55424584
23.36402010 0.00071856 489.64507039 62.84541023 26.55424584
23.36402010 0.00071856 489.64507039 62.84541023 26.55424584
23.36402010 0.00071856 489.64507039 62.84541023 26.55424584
23.36402010 0.00071856 489.64507039 62.84541023 26.55424584
