# ['MStar', 'MRate', 'Rdisc']
36.37587107 0.00078789 652.06925613
36.37587107 0.00078789 652.06925613
37.35468088 0.00080893 672.75574930
37.35468088 0.00080893 672.75574930
37.35468088 0.00080893 672.75574930
37.35468088 0.00080893 672.75574930
37.61017626 0.00079369 682.71463716
37.61017626 0.00079369 682.71463716
37.61017626 0.00079369 682.71463716
37.68549237 0.00078565 680.25345774
37.62528608 0.00079208 682.22087862
37.62528608 0.00079208 682.22087862
37.62528608 0.00079208 682.22087862
37.62528608 0.00079208 682.22087862
37.62528608 0.00079208 682.22087862
37.62528608 0.00079208 682.22087862
37.61375084 0.00079998 696.59621635
37.61375084 0.00079998 696.59621635
37.61675367 0.00079795 702.11620613
37.61675367 0.00079795 702.11620613
37.61675367 0.00079795 702.11620613
37.79044523 0.00078857 681.19095753
37.79044523 0.00078857 681.19095753
37.77890236 0.00078777 681.29594527
37.77890236 0.00078777 681.29594527
37.77890236 0.00078777 681.29594527
37.77890236 0.00078777 681.29594527
37.77890236 0.00078777 681.29594527
37.77890236 0.00078777 681.29594527
37.77890236 0.00078777 681.29594527
37.77890236 0.00078777 681.29594527
37.77890236 0.00078777 681.29594527
37.77890236 0.00078777 681.29594527
37.77890236 0.00078777 681.29594527
37.77890236 0.00078777 681.29594527
37.77890236 0.00078777 681.29594527
37.77890236 0.00078777 681.29594527
37.77890236 0.00078777 681.29594527
37.77890236 0.00078777 681.29594527
37.77890236 0.00078777 681.29594527
37.77890236 0.00078777 681.29594527
37.77890236 0.00078777 681.29594527
37.77890236 0.00078777 681.29594527
37.77890236 0.00078777 681.29594527
37.77984737 0.00078781 681.28301294
37.77984737 0.00078781 681.28301294
37.77984737 0.00078781 681.28301294
37.77984737 0.00078781 681.28301294
37.77984737 0.00078781 681.28301294
37.77984737 0.00078781 681.28301294
37.77984737 0.00078781 681.28301294
37.77984737 0.00078781 681.28301294
37.77984737 0.00078781 681.28301294
37.77984737 0.00078781 681.28301294
37.77984737 0.00078781 681.28301294
37.77984737 0.00078781 681.28301294
37.77984737 0.00078781 681.28301294
37.77984737 0.00078781 681.28301294
37.77984737 0.00078781 681.28301294
37.77984737 0.00078781 681.28301294
37.77984737 0.00078781 681.28301294
37.82510648 0.00079359 675.62616894
37.82510648 0.00079359 675.62616894
37.82510648 0.00079359 675.62616894
37.82510648 0.00079359 675.62616894
37.82510648 0.00079359 675.62616894
37.82510648 0.00079359 675.62616894
37.82510648 0.00079359 675.62616894
37.82510648 0.00079359 675.62616894
37.82510648 0.00079359 675.62616894
37.82510648 0.00079359 675.62616894
37.82510648 0.00079359 675.62616894
37.82510648 0.00079359 675.62616894
37.82510648 0.00079359 675.62616894
37.82510648 0.00079359 675.62616894
37.82510648 0.00079359 675.62616894
38.12741359 0.00079086 676.76764395
38.12741359 0.00079086 676.76764395
38.12741359 0.00079086 676.76764395
38.12741359 0.00079086 676.76764395
38.12741359 0.00079086 676.76764395
38.12741359 0.00079086 676.76764395
38.12741359 0.00079086 676.76764395
38.12741359 0.00079086 676.76764395
38.12741359 0.00079086 676.76764395
38.12741359 0.00079086 676.76764395
38.12741359 0.00079086 676.76764395
38.12741359 0.00079086 676.76764395
38.30557302 0.00079498 681.45208268
38.30557302 0.00079498 681.45208268
38.30557302 0.00079498 681.45208268
38.30557302 0.00079498 681.45208268
38.30557302 0.00079498 681.45208268
38.30557302 0.00079498 681.45208268
38.30557302 0.00079498 681.45208268
38.30557302 0.00079498 681.45208268
38.30557302 0.00079498 681.45208268
38.30557302 0.00079498 681.45208268
38.30557302 0.00079498 681.45208268
38.30557302 0.00079498 681.45208268
38.30557302 0.00079498 681.45208268
38.30557302 0.00079498 681.45208268
20.15850997 0.00201337 151.93557370
20.15850997 0.00201337 151.93557370
20.15850997 0.00201337 151.93557370
20.15850997 0.00201337 151.93557370
20.15850997 0.00201337 151.93557370
20.15850997 0.00201337 151.93557370
20.15850997 0.00201337 151.93557370
20.56503982 0.00201753 150.06901572
20.56503982 0.00201753 150.06901572
20.78477206 0.00212826 173.44399123
20.98818359 0.00210607 188.82346981
21.13073722 0.00216425 200.34748242
21.13073722 0.00216425 200.34748242
23.03992077 0.00196667 182.23466021
23.15751509 0.00196746 183.60684819
23.15751509 0.00196746 183.60684819
23.15751509 0.00196746 183.60684819
